file,winner,F1,F2,F3,edit
andalusian_match_declarative-broad-focus_Ana-lleva-el-abrigo,8,8,8,8,0
andalusian_match_declarative-broad-focus_Daniel-iba-a-Bolivia,9,9,9,9,0
andalusian_match_declarative-broad-focus_David-leia-el-libro,11,11,11,11,0
andalusian_match_declarative-broad-focus_Emilio-ama-la-marcha,1,1,1,1,0
andalusian_match_declarative-broad-focus_Manuela-vende-el-carro,9,9,9,9,0
andalusian_match_declarative-broad-focus_Maria-bebe-el-vino,10,10,10,10,0
andalusian_match_declarative-broad-focus_Mariano-habla-del-tiempo,1,1,1,1,0
andalusian_match_declarative-broad-focus_Marta-abre-el-regalo,9,9,9,9,0
andalusian_match_declarative-narrow-focus_Ana-lleva-el-abrigo,10,10,10,10,0
andalusian_match_declarative-narrow-focus_Daniel-iba-a-Bolivia,20,20,20,20,0
andalusian_match_declarative-narrow-focus_David-leia-el-libro,11,11,11,11,0
andalusian_match_declarative-narrow-focus_Emilio-ama-la-marcha,10,10,10,10,0
andalusian_match_declarative-narrow-focus_Manuela-vende-el-carro,1,1,1,1,0
andalusian_match_declarative-narrow-focus_Maria-bebe-el-vino,8,8,8,8,0
andalusian_match_declarative-narrow-focus_Mariano-habla-del-tiempo,8,8,8,8,0
andalusian_match_declarative-narrow-focus_Marta-abre-el-regalo,9,9,9,9,0
andalusian_match_interrogative-partial-wh_Cuando-bebia-el-vino,15,15,15,15,0
andalusian_match_interrogative-partial-wh_Cuando-leia-el-libro,7,7,7,7,0
andalusian_match_interrogative-partial-wh_Cuando-lleva-el-abrigo,9,9,9,9,0
andalusian_match_interrogative-partial-wh_Cuando-vendia-el-carro,7,7,7,7,0
andalusian_match_interrogative-partial-wh_Por-que-abre-el-regalo,7,7,7,7,0
andalusian_match_interrogative-partial-wh_Por-que-ama-la-navidad,10,10,10,10,0
andalusian_match_interrogative-partial-wh_Por-que-hablaba-del-agua,11,11,11,11,0
andalusian_match_interrogative-partial-wh_Por-que-iba-a-Bolivia,7,7,7,7,0
andalusian_match_interrogative-total-yn_Ana-lleva-el-abrigo,9,9,9,9,0
